CMIP6_model,beta,gamma,r0,rC,rT,PI_co2
UKESM,0.63,1.31,37.50175730489073,0.016318593628259,3.577207497984144,282.4
JAMSTEC,0.68,1.2,34.352754783106015,0.016134705441244814,3.536897271725508,286.9
IPSL-ESM,0.95,1.0,28.627295652588344,0.018784277168115898,4.117711284484353,290.0
BCC,0.64,1.07,30.63120634826953,0.013540497899711335,2.9682196711735633,288.9
CNRM-ESM,0.5,1.22,34.92530069615778,0.012061483234263893,2.6440040879320583,290.2
CanESM,0.23,1.27,36.3566654787872,0.005775670906112268,1.2660878591556628,285.5
MPI-ESM,0.76,1.2,34.352754783106015,0.01803290608139126,3.9530028331049794,285.9
