,r0,rC,rT,PI_conc
ACCESS-ESM1-5,33.80925781425773,0.038287975933341364,3.1008824838879563,280.83489702226086
BCC-CSM2-MR,29.011770226912365,0.008624788336273828,4.840093604855331,290.2944440823533
CESM2,40.30595161920888,0.016217925402253787,1.4135424518561939,290.6698520179099
CNRM-ESM2-1,38.70765292684515,0.009588829735635594,3.125609964241936,287.56512891399393
CanESM5,36.670496057864156,0.012589644532083645,-0.49949979716474074,287.5190719452455
GFDL-ESM4,36.847804012402506,0.015699355912191022,4.017815235602745,289.22721000892835
IPSL-CM6A-LR,31.266649515701964,0.032454767332841444,1.6808005825504546,299.4238450477142
MIROC-ES2L,33.57079660083169,0.0180085924724018,3.4545831611796656,296.0825175652673
MPI-ESM1-2-LR,33.22136537312572,0.02671446603737411,1.7918976251836323,293.38076205518365
NorESM2-LM,41.07952342815135,0.015302100133197024,1.6100937083443765,287.24361792709925
UKESM1-0-LL,37.71929653372721,0.021478224647762938,2.986469194709338,290.35153846037264
