,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,CNRM-CM6-1,CNRM-CM6-1-HR,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,SAM0-UNICON,TaiESM1,UKESM1-0-LL,MIROC-ES2L,NorESM2-LM,NorESM2-MM
gamma,1.61919248546826,2.77285959537079,4.08229228558392,2.4286911114644703,1.90757565909417,26.861570096607,2.6534405589397947,2.7134092908080203,2.9957160906543,2.912860753927049,0.812650039134116,4.48419403413461,6.37667255607749,3.79058739359797,3.6555833290303,3.0603152734392705,26.1818238955525,2.76803401351338,4.07615692414606,1.06081535688566,2.46974575566535,2.34701612077381,3.1198181686920696,3.11833257068933,2.48046795870579,1.91464231234102,3.2526032007910297,1.90180194729944,2.20229068596338,2.9037963744147497,2.24292234274812,1.62880844699415,2.83125794728782,1.16914246019437,2.44537969708654,2.0326359967661203,3.5755326271424903,0.013995626269865223,1.02786445065332,1.38300424468815
C1,3.76117476410846,3.80542641384199,4.224599367400431,5.15687190321381,5.65501537256826,3.48227124908137,5.795711453930286,3.75812572251324,3.73337757820557,3.3711887798898306,5.24497626653739,4.20982434475254,4.15911862443214,4.70913451037065,3.93452313433635,3.654335348069581,3.4130701571546,5.45943196725461,4.27757043696185,3.935433405637911,4.65970534915232,3.61264887598095,3.81671639019109,3.4757359042394604,4.3060394981915495,4.43791774172953,2.9648523551496804,0.9819980410074008,3.78075364143121,5.20109925021222,6.465819333369759,4.90730027432031,2.5162242915484505,7.1601639012953,4.5777895054375,5.07442503766739,2.98425479552234,10.043518519117857,3.72979061809502,4.12921582563081
C2,11.113823193345802,8.778812435891,10.596787537381099,12.2804796956685,16.460474839986,7.6362863657809505,54.97846987370836,7.05354505992173,6.18214554183102,9.484168048783,11.205731128880501,16.9023337065744,11.469717644851801,11.012284488582099,11.349454361011901,9.526641068670939,10.0474883383858,0.16129574515435,10.4031631558175,10.5484597578568,24.529551336525106,10.962120078477199,9.352874255132141,14.2176084639439,9.595593722111053,11.002563513891499,14.1390017189532,11.172366900534898,17.0262357703106,23.258198632985,49.4131417226254,10.813914615075399,19.198839900911,35.9917896472215,6.30113604875006,8.94630325701288,11.2395120563291,21.187201288595734,175.53847241222698,128.261783115059
C3,82.68734227810221,85.1773579567528,47.0526299241335,66.64503954729689,77.2724694544312,56.0645368918972,90.8407432649,88.85286112942741,87.24112505150869,107.86591081871599,63.7896595444345,418.542317807012,86.5516646682695,106.41364647181,72.6784939258617,43.430314993631896,29.572996970907887,79.020888213801,124.881695282038,173.914809487653,31978734.445147306,438.39437139294404,67.6327666610069,62.1255207579226,20.2669023129509,45.8373238572377,69.792103226728,118.012439775781,177.932079987154,71.45447151375791,1575174.92071905,96.77917001592691,114.554700201519,54700107.79635429,111.133315169636,86.62009331954798,69.67893655909921,255.04438369665317,1.4475269376205302,0.588065439050822
kap1,0.672770464654732,0.69915711020614,1.1688383513513,0.92366003880999,0.8828169193910579,1.86486290979336,0.41002347280236795,0.549746733448044,0.717098598018534,0.5598188768071299,0.6930507337795361,1.25159252136034,1.0184009654263702,0.664599751151626,0.635940379216562,0.577057263524102,0.841299012734126,1.0146954086659,1.5791921401888502,1.5132880885867102,1.67810426540825,2.07319568936459,0.612245526111026,0.660091449744519,1.5804977456163,1.57121430026223,0.6874147859141789,0.7261288953757,1.4467375390340302,1.18566516577171,1.7266338714009,1.11890052277053,0.92302784380356,1.5475780033652902,1.03189324866225,0.8826987093226221,0.6532810557513969,1.6511763656531973,0.749391785810525,1.96601501401784
kap2,3.01264370557907,3.6987173882080495,1.9027247708632904,2.3970445839561902,1.51232528066182,6.11455191379638,0.9218132392653084,3.87877554863818,6.86395134931586,3.5125877049351297,2.62429642402162,1.23598801275302,1.9858390041023,1.50796109777623,2.1244244026526697,2.37507583721723,2.44342483789471,2.04638594216621,1.76391108189513,2.08881026183844,1.24951236910386,1.95878413157761,2.77553645222274,2.02587680743748,1.87628008780266,1.86571079566683,1.80973190625443,27.7672663857091,1.74051090308955,1.5935317073318798,0.862570923594657,2.34840072091608,1.03708132373943,1.2062606257026298,2.66335040342251,2.2904443108971098,2.68441575961931,0.9537917375947342,3.23134262250996,1.44122642460236
kap3,0.6886670187045101,0.839850605463412,0.6938261641061221,0.9602412799427752,0.9629284206731352,0.6972217376658439,0.2440496795685141,0.992322962518678,0.8234375411042529,0.9453916172948608,0.965167878317492,0.4049656134484741,0.64525784901366,0.776808345556427,0.62390111626598,0.36526786150196905,0.642838542881126,1.88083934321829,0.7689259984516579,1.16604615956741,0.28847577236703803,0.5838103251441179,0.63519984374254,0.700752172690495,0.536691818630463,0.557549718798636,0.450224414811999,0.93658986167212,1.10735899669755,1.08926613521379,0.281064275652327,1.35789031815862,0.4592246747786579,0.401711254907604,1.0110114179805698,0.908800290349402,0.624539418175498,0.8992921868871839,1.33574745036096,0.7009993044240761
epsilon,1.34930489159305,1.56492598002319,1.41354854760267,1.40543596843675,1.28295484858899,1.24124454812923,1.3583714969335077,1.74091635350241,1.59598237137775,1.5064045496731002,1.34820587210082,0.187755357516782,0.7048599058583671,0.920729498775652,1.09478894482169,1.51517171695705,1.28689520560155,1.77993678380314,0.822900460669428,1.06812483983859,0.000732737286351288,0.329374690048935,1.17219135333559,1.02364157575575,1.47742772922646,1.41307699612616,1.37359888279056,1.24593897885073,1.17565603638503,1.53119520551967,0.40727015953192097,1.27889592132341,0.757540059793083,0.50774186078565,1.27446757970237,1.22875199814849,1.13781204628905,0.5942986758738429,445.13179984867514,207.476855839849
stds,0.443725657907206,0.6400803974957621,0.953050616663152,0.55564068573604,0.39071497039173103,1.93340580978024,0.6831575281570905,0.883793353989615,0.705486032306366,0.9439542870580532,0.35620011977711497,0.669957352800023,0.644760379602668,0.46475086667778,0.375726761318591,0.9110803710865308,2.7010035620338897,0.965189090723312,1.03862225792726,0.182564047041616,0.551366302359975,0.54180248636857,0.45714491798119,0.4952873452580739,0.436516917332185,0.444919800851708,0.850205134925735,0.347985352264976,0.8107532727496558,0.537731043589658,0.4571083075401721,0.368887583910608,0.5534403574294411,0.465505214143039,0.805842150658087,0.4598622361592151,0.4989788425362301,0.031586210093084904,0.9952234695457,1.22698534444595
stdx,0.542203249043077,0.616032724515048,0.672111234648898,0.434062179359699,0.33800607734041804,0.441984217840079,0.3812820170371606,0.5954200630189399,0.4902151381622,0.53082753820064,0.544571295378135,0.587148953648768,0.477310267787166,0.375421108306523,0.378511069793786,0.607215955629961,0.721716621317884,0.730359895439643,0.4845481795092511,0.458726789621936,0.806866621876621,0.540397516991973,0.601430825384848,0.443684100122585,0.25834155072570303,0.313511179133907,0.479741186914808,0.516725906808064,0.8365992482717142,0.442188340138214,0.8186351901718859,0.25907572359388004,0.274059180697812,0.617150749353936,0.633762106009217,0.6896050652677901,0.4488480857096121,0.19297169622942767,0.6007031104204711,0.7049990123117241
