year,AS-RCEC_TaiESM1_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_UKESM1-0-LL_r2i1p1f2,MOHC_UKESM1-0-LL_r3i1p1f2,MOHC_UKESM1-0-LL_r4i1p1f2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NCAR_CESM2-FV2_r1i1p1f1,NCAR_CESM2-WACCM-FV2_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCAR_CESM2_r1i1p1f1,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NOAA-GFDL_GFDL-CM4_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,MRI_MRI-ESM2-0_r1i2p1f1
96,3760995500000000.0,,,,,,,,,,5724239000000000.0,5726714500000000.0,5726715000000000.0,5724239000000000.0,3760995500000000.0,3742410400000000.0,3742410400000000.0,5729591600000000.0,5630203400000000.0,,
97,3798605400000000.0,,,,,,,,,,5781483000000000.0,5784034000000000.0,5784034000000000.0,5781483000000000.0,3798605400000000.0,3779835000000000.0,3779835000000000.0,5786915500000000.0,5698471300000000.0,,
98,3836591500000000.0,,,,,,,,,,5839297400000000.0,5841874400000000.0,5841874400000000.0,5839297400000000.0,3836591500000000.0,3817634000000000.0,3817634000000000.0,5845203000000000.0,5745831000000000.0,,
99,3874957300000000.0,,,,,,,,,,5897690700000000.0,5900183000000000.0,5900183000000000.0,5897690700000000.0,3874957300000000.0,3855810000000000.0,3855810000000000.0,5903617000000000.0,5806961700000000.0,,
100,3913707000000000.0,,,,,,,,,,5956668700000000.0,5959242400000000.0,5959242400000000.0,5956668700000000.0,3913707000000000.0,3894369300000000.0,3894369300000000.0,5962640300000000.0,5874317500000000.0,,
101,3952844200000000.0,,,,,,,,,,6016235600000000.0,6018889300000000.0,6018889300000000.0,6016235600000000.0,3952844200000000.0,3933312800000000.0,3933312800000000.0,6022240500000000.0,5923746700000000.0,,
102,3992372600000000.0,,,,,,,,,,6076398000000000.0,6079078000000000.0,6079078000000000.0,6076398000000000.0,3992372600000000.0,3972645800000000.0,3972645800000000.0,6082430000000000.0,5983736000000000.0,,
103,4032296000000000.0,,,,,,,,,,6137161000000000.0,6139754500000000.0,6139754000000000.0,6137161000000000.0,4032296000000000.0,4012372100000000.0,4012372100000000.0,6143233500000000.0,6054098000000000.0,,
104,4072619300000000.0,,,,,,,,,,6198534000000000.0,6201211000000000.0,6201211000000000.0,6198534000000000.0,4072619300000000.0,4052496300000000.0,4052496300000000.0,6204945700000000.0,6121846000000000.0,,
105,4113345700000000.0,,,,,,,,,,6260520400000000.0,6263280000000000.0,6263280000000000.0,6260520400000000.0,4113345700000000.0,4093022200000000.0,4093022200000000.0,6266986000000000.0,6165063000000000.0,,
106,4154479000000000.0,,,,,,,,,,6323125500000000.0,6325913400000000.0,6325913000000000.0,6323125500000000.0,4154479000000000.0,4133952000000000.0,4133952000000000.0,6329916000000000.0,6220375400000000.0,,
107,4196024000000000.0,,,,,,,,,,6386354400000000.0,6389053000000000.0,6389053000000000.0,6386354400000000.0,4196024000000000.0,4175290000000000.0,4175290000000000.0,6393000300000000.0,6294972000000000.0,,
108,4237983800000000.0,,,,,,,,,,6450220000000000.0,6453005300000000.0,6453005300000000.0,6450220000000000.0,4237983800000000.0,4217044500000000.0,4217044500000000.0,6456907000000000.0,6377657600000000.0,,
109,4280363600000000.0,,,,,,,,,,6514719700000000.0,6517594000000000.0,6517595000000000.0,6514719700000000.0,4280363600000000.0,4259213000000000.0,4259213000000000.0,6521583600000000.0,6426207000000000.0,,
110,4323167200000000.0,,,,,,,,,,6579870000000000.0,6582770000000000.0,6582770000000000.0,6579870000000000.0,4323167200000000.0,4301807000000000.0,4301807000000000.0,6586791400000000.0,6485765000000000.0,,
111,4366399000000000.0,,,,,,,,,,6645667300000000.0,6648473500000000.0,6648474000000000.0,6645667300000000.0,4366399000000000.0,4344824400000000.0,4344824400000000.0,6652882300000000.0,6554329000000000.0,,
112,4410062800000000.0,,,,,,,,,,6712123000000000.0,6715023000000000.0,6715023000000000.0,6712123000000000.0,4410062800000000.0,4388271400000000.0,4388271400000000.0,6719390000000000.0,6623819000000000.0,,
113,4454163500000000.0,,,,,,,,,,6779243000000000.0,6782234400000000.0,6782234400000000.0,6779243000000000.0,4454163500000000.0,4432154700000000.0,4432154700000000.0,6786432000000000.0,6683879000000000.0,,
114,4498705500000000.0,,,,,,,,,,6847035000000000.0,6850058000000000.0,6850058000000000.0,6847035000000000.0,4498705500000000.0,4476475600000000.0,4476475600000000.0,6854411000000000.0,6744008700000000.0,,
115,4543692600000000.0,,,,,,,,,,6915509400000000.0,6918429400000000.0,6918429400000000.0,6915509400000000.0,4543692600000000.0,4521242000000000.0,4521242000000000.0,6923214600000000.0,6809589000000000.0,,
116,4589129600000000.0,,,,,,,,,,6984664000000000.0,6987680400000000.0,6987680400000000.0,6984664000000000.0,4589129600000000.0,4566454300000000.0,4566454300000000.0,6992692000000000.0,6890111600000000.0,,
117,4635021000000000.0,,,,,,,,,,7054509000000000.0,7057622000000000.0,7057621000000000.0,7054509000000000.0,4635021000000000.0,4612118400000000.0,4612118400000000.0,7062834000000000.0,6959025500000000.0,,
118,4681371000000000.0,,,,,,,,,,7125056500000000.0,7128196700000000.0,7128196700000000.0,7125056500000000.0,4681371000000000.0,4658242000000000.0,4658242000000000.0,7133169000000000.0,7029705600000000.0,,
119,4728184000000000.0,,,,,,,,,,7196307400000000.0,7199345000000000.0,7199345000000000.0,7196307400000000.0,4728184000000000.0,4704823700000000.0,4704823700000000.0,7204859000000000.0,7089502000000000.0,,
120,4775466000000000.0,,,,,,,,,,7268270000000000.0,7271408000000000.0,7271408000000000.0,7268270000000000.0,4775466000000000.0,4751871300000000.0,4751871300000000.0,7276594000000000.0,7150750600000000.0,,
121,4823221000000000.0,,,,,,,,,,7340949000000000.0,7344188500000000.0,7344188500000000.0,7340949000000000.0,4823221000000000.0,4799388000000000.0,4799388000000000.0,7349460000000000.0,7241783500000000.0,,
122,4871453400000000.0,,,,,,,,,,7414357000000000.0,7417630000000000.0,7417630000000000.0,7414357000000000.0,4871453400000000.0,4847381000000000.0,4847381000000000.0,7423319000000000.0,7324523400000000.0,,
123,4920168000000000.0,,,,,,,,,,7488501000000000.0,7491668000000000.0,7491667000000000.0,7488501000000000.0,4920168000000000.0,4895855000000000.0,4895855000000000.0,7497383000000000.0,7401736000000000.0,,
124,4969369500000000.0,,,,,,,,,,7563390700000000.0,7566656500000000.0,7566657000000000.0,7563390700000000.0,4969369500000000.0,4944817000000000.0,4944817000000000.0,7572453000000000.0,7460375400000000.0,,
125,5019063000000000.0,,,,,,,,,,7639024500000000.0,7642392300000000.0,7642392300000000.0,7639024500000000.0,5019063000000000.0,4994264000000000.0,4994264000000000.0,7648074000000000.0,7523366000000000.0,,
126,5069254000000000.0,,,,,,,,,,7715416400000000.0,7718816000000000.0,7718816000000000.0,7715416400000000.0,5069254000000000.0,5044207700000000.0,5044207700000000.0,7724604400000000.0,7604968000000000.0,,
127,5119946000000000.0,,,,,,,,,,7792565300000000.0,7795858000000000.0,7795858000000000.0,7792565300000000.0,5119946000000000.0,5094647000000000.0,5094647000000000.0,7801997600000000.0,7689634000000000.0,,
128,5171145500000000.0,,,,,,,,,,7870494000000000.0,7873893000000000.0,7873893000000000.0,7870494000000000.0,5171145500000000.0,5145596000000000.0,5145596000000000.0,7879944300000000.0,7774397600000000.0,,
129,5222857000000000.0,,,,,,,,,,7949200600000000.0,7952703700000000.0,7952703700000000.0,7949200600000000.0,5222857000000000.0,5197052700000000.0,5197052700000000.0,7959354500000000.0,7860517600000000.0,,
130,5275086000000000.0,,,,,,,,,,8028690000000000.0,8032231000000000.0,8032231000000000.0,8028690000000000.0,5275086000000000.0,5249020700000000.0,5249020700000000.0,8039463700000000.0,7930202000000000.0,,
131,5327836600000000.0,,,,,,,,,,8108977000000000.0,8112401300000000.0,8112401300000000.0,8108977000000000.0,5327836600000000.0,5301511000000000.0,5301511000000000.0,8119213000000000.0,8000588300000000.0,,
132,5381115000000000.0,,,,,,,,,,8190066700000000.0,8193603600000000.0,8193603600000000.0,8190066700000000.0,5381115000000000.0,5354527000000000.0,5354527000000000.0,8200756300000000.0,8073548000000000.0,,
133,5434927000000000.0,,,,,,,,,,8271968000000000.0,8275615500000000.0,8275614400000000.0,8271968000000000.0,5434927000000000.0,5408072000000000.0,5408072000000000.0,8283018000000000.0,8157800000000000.0,,
134,5489275300000000.0,,,,,,,,,,8354689000000000.0,8358372000000000.0,8358372000000000.0,8354689000000000.0,5489275300000000.0,5462154000000000.0,5462154000000000.0,8365192400000000.0,8257414000000000.0,,
135,5544168000000000.0,,,,,,,,,,8438237000000000.0,8441797400000000.0,8441797400000000.0,8438237000000000.0,5544168000000000.0,5516775400000000.0,5516775400000000.0,8448873000000000.0,8331246000000000.0,,
136,5599610000000000.0,,,,,,,,,,8522619000000000.0,8526298000000000.0,8526297700000000.0,8522619000000000.0,5599610000000000.0,5571943000000000.0,5571943000000000.0,8534066000000000.0,8417234500000000.0,,
137,5655606000000000.0,,,,,,,,,,8607842500000000.0,8611638700000000.0,8611638700000000.0,8607842500000000.0,5655606000000000.0,5627661000000000.0,5627661000000000.0,8619417400000000.0,8501222600000000.0,,
138,5712162000000000.0,,,,,,,,,,8693916300000000.0,8697755500000000.0,8697755500000000.0,8693916300000000.0,5712162000000000.0,5683935000000000.0,5683935000000000.0,8705278000000000.0,8585378000000000.0,,
139,5769284000000000.0,,,,,,,,,,8780855000000000.0,8784569000000000.0,8784569000000000.0,8780855000000000.0,5769284000000000.0,5740774000000000.0,5740774000000000.0,8792668000000000.0,8661061000000000.0,,
140,5812053000000000.0,,,,,,,,,,8868666700000000.0,8872500000000000.0,8872500000000000.0,8868666700000000.0,5826976000000000.0,5798184000000000.0,5798184000000000.0,8880953500000000.0,8763427600000000.0,,
141,5814322000000000.0,,,,,,,,,,8957356700000000.0,8961306000000000.0,8961305400000000.0,8957356700000000.0,5885246000000000.0,5856168000000000.0,5856168000000000.0,8969521000000000.0,8865060000000000.0,,
142,5814322000000000.0,,,,,,,,,,9046929000000000.0,9050919000000000.0,9050919000000000.0,9046929000000000.0,5944099000000000.0,5914728000000000.0,5914728000000000.0,9059368000000000.0,8934386000000000.0,,
143,5814322000000000.0,,,,,,,,,,9137399000000000.0,9141257000000000.0,9141257000000000.0,9137399000000000.0,6003540000000000.0,5973876000000000.0,5973876000000000.0,9150225000000000.0,9027853000000000.0,,
144,5814322000000000.0,,,,,,,,,,9228776000000000.0,9232759000000000.0,9232759000000000.0,9228776000000000.0,6063575000000000.0,6033617000000000.0,6033617000000000.0,9241409000000000.0,9123779000000000.0,,
145,5814322000000000.0,,,,,,,,,,9321059000000000.0,9325171000000000.0,9325171000000000.0,9321059000000000.0,6124211000000000.0,6093951000000000.0,6093951000000000.0,9334145000000000.0,9209382000000000.0,,
146,5814322000000000.0,,,,,,,,,,9414270000000000.0,9418422000000000.0,9418422000000000.0,9414270000000000.0,6185453000000000.0,6154890000000000.0,6154890000000000.0,9427491000000000.0,9299416000000000.0,,
147,5814322000000000.0,,,,,,,,,,9508412000000000.0,9512429000000000.0,9512430000000000.0,9508412000000000.0,6247307500000000.0,6216439000000000.0,6216439000000000.0,9521774000000000.0,9401109000000000.0,,
148,5814322000000000.0,,,,,,,,,,9603492000000000.0,9607645000000000.0,9607645000000000.0,9603492000000000.0,6309781000000000.0,6278600000000000.0,6278600000000000.0,9617312000000000.0,9490764000000000.0,,
149,5814322000000000.0,,,,,,,,,,9699529000000000.0,9703810000000000.0,9703810000000000.0,9699529000000000.0,6372878400000000.0,6341386600000000.0,6341386600000000.0,9713304000000000.0,9579433000000000.0,,
150,5814322000000000.0,,,,,,,,,,9796528000000000.0,9800849000000000.0,9800848000000000.0,9796528000000000.0,6436607000000000.0,6404803400000000.0,6404803400000000.0,9810488000000000.0,9678754000000000.0,,
151,,,,,,,,,,,,,,,6500973600000000.0,,,,,,
152,,,,,,,,,,,,,,,6565983000000000.0,,,,,,
153,,,,,,,,,,,,,,,6631642600000000.0,,,,,,
154,,,,,,,,,,,,,,,6697959000000000.0,,,,,,
155,,,,,,,,,,,,,,,6764938600000000.0,,,,,,
156,,,,,,,,,,,,,,,6832588000000000.0,,,,,,
157,,,,,,,,,,,,,,,6900913500000000.0,,,,,,
158,,,,,,,,,,,,,,,6969923000000000.0,,,,,,
159,,,,,,,,,,,,,,,7039621600000000.0,,,,,,
160,,,,,,,,,,,,,,,7110018000000000.0,,,,,,
161,,,,,,,,,,,,,,,7181119000000000.0,,,,,,
162,,,,,,,,,,,,,,,7252930000000000.0,,,,,,
163,,,,,,,,,,,,,,,7325459700000000.0,,,,,,
164,,,,,,,,,,,,,,,7398714700000000.0,,,,,,
1850,,2208330000000000.0,2209065400000000.0,2213051427250485.0,2236988100000000.0,2236988100000000.0,2236988100000000.0,2236988100000000.0,2216670900000000.0,2216662600000000.0,,,,,,,,,,2235488700000000.0,0.0
1851,,2230413600000000.0,2231156500000000.0,2235157004723223.8,2259358200000000.0,2259358200000000.0,2259358200000000.0,2259358200000000.0,2236040100000000.0,2236031400000000.0,,,,,,,,,,2257843600000000.0,0.0
1852,,2252718000000000.0,2253468100000000.0,2257496082616715.0,2281951600000000.0,2281951600000000.0,2281951600000000.0,2281951600000000.0,2258423500000000.0,2258415000000000.0,,,,,,,,,,2280422000000000.0,0.0
1853,,2275244400000000.0,2276002200000000.0,2280146573584068.5,2304771000000000.0,2304771000000000.0,2304771000000000.0,2304771000000000.0,2280984400000000.0,2280975800000000.0,,,,,,,,,,2303226100000000.0,0.0
1854,,2297996800000000.0,2298762600000000.0,2302874739665956.5,2327819000000000.0,2327819000000000.0,2327819000000000.0,2327819000000000.0,2303794400000000.0,2303785000000000.0,,,,,,,,,,2326258400000000.0,0.0
1855,,2320977000000000.0,2321749800000000.0,2325914556360283.5,2351097000000000.0,2351097000000000.0,2351097000000000.0,2351097000000000.0,2326832000000000.0,2326823000000000.0,,,,,,,,,,2349521000000000.0,0.0
1856,,2344186700000000.0,2344967000000000.0,2349187635936787.5,2374608200000000.0,2374608200000000.0,2374608200000000.0,2374608200000000.0,2350124200000000.0,2350115400000000.0,,,,,,,,,,2373016400000000.0,0.0
1857,,2367628600000000.0,2368417000000000.0,2372694215934043.5,2398354000000000.0,2398354000000000.0,2398354000000000.0,2398354000000000.0,2373601300000000.0,2373592000000000.0,,,,,,,,,,2396746400000000.0,0.0
1858,,2391305000000000.0,2392101600000000.0,2396434533890630.5,2422337700000000.0,2422337700000000.0,2422337700000000.0,2422337700000000.0,2397337500000000.0,2397328000000000.0,,,,,,,,,,2420714000000000.0,0.0
1859,,2415218200000000.0,2416022500000000.0,2420408114729392.5,2446561000000000.0,2446561000000000.0,2446561000000000.0,2446561000000000.0,2421310600000000.0,2421301800000000.0,,,,,,,,,,2444921100000000.0,0.0
1860,,2439370000000000.0,2440182000000000.0,2444615433527484.5,2471026500000000.0,2471026500000000.0,2471026500000000.0,2471026500000000.0,2445549000000000.0,2445539300000000.0,,,,,,,,,,2469370200000000.0,0.0
1861,,2463764500000000.0,2464584800000000.0,2469056015207753.0,2495737000000000.0,2495737000000000.0,2495737000000000.0,2495737000000000.0,2469979300000000.0,2469969700000000.0,,,,,,,,,,2494064000000000.0,0.0
1862,,2488401200000000.0,2489230200000000.0,2493730334847352.0,2520694300000000.0,2520694300000000.0,2520694300000000.0,2520694300000000.0,2494679000000000.0,2494669200000000.0,,,,,,,,,,2519004500000000.0,0.0
1863,,2513286000000000.0,2514123300000000.0,2518637917369127.5,2545901200000000.0,2545901200000000.0,2545901200000000.0,2545901200000000.0,2519625700000000.0,2519616300000000.0,,,,,,,,,,2544194500000000.0,0.0
1864,,2538418600000000.0,2539264000000000.0,2543857150503342.5,2571360100000000.0,2571360100000000.0,2571360100000000.0,2571360100000000.0,2544848000000000.0,2544838200000000.0,,,,,,,,,,2569636800000000.0,0.0
1865,,2563803000000000.0,2564656200000000.0,2569309646519732.5,2597073800000000.0,2597073800000000.0,2597073800000000.0,2597073800000000.0,2570269800000000.0,2570260000000000.0,,,,,,,,,,2595332800000000.0,0.0
1866,,2589440300000000.0,2590303000000000.0,2594995880495453.0,2623044700000000.0,2623044700000000.0,2623044700000000.0,2623044700000000.0,2595973000000000.0,2595963000000000.0,,,,,,,,,,2621286500000000.0,0.0
1867,,2615335000000000.0,2616206300000000.0,2620915377353351.0,2649275000000000.0,2649275000000000.0,2649275000000000.0,2649275000000000.0,2621932600000000.0,2621922400000000.0,,,,,,,,,,2647499200000000.0,0.0
1868,,2641488600000000.0,2642368800000000.0,2647146287285111.5,2675767800000000.0,2675767800000000.0,2675767800000000.0,2675767800000000.0,2648179000000000.0,2648168700000000.0,,,,,,,,,,2673974000000000.0,0.0
1869,,2667903000000000.0,2668791700000000.0,2673610697637624.0,2702525500000000.0,2702525500000000.0,2702525500000000.0,2702525500000000.0,2674633400000000.0,2674623500000000.0,,,,,,,,,,2700713800000000.0,0.0
1870,,2694582800000000.0,2695480100000000.0,2700308845949467.5,2729550800000000.0,2729550800000000.0,2729550800000000.0,2729550800000000.0,2701379800000000.0,2701369300000000.0,,,,,,,,,,2727720800000000.0,0.0
1871,,2721528000000000.0,2722434500000000.0,2727318169796596.0,2756846400000000.0,2756846400000000.0,2756846400000000.0,2756846400000000.0,2728393800000000.0,2728383300000000.0,,,,,,,,,,2754998200000000.0,0.0
1872,,2748744000000000.0,2749659300000000.0,2754638669179011.5,2784415000000000.0,2784415000000000.0,2784415000000000.0,2784415000000000.0,2755705500000000.0,2755695000000000.0,,,,,,,,,,2782548000000000.0,0.0
1873,,2776230600000000.0,2777155600000000.0,2782192906520756.5,2812259200000000.0,2812259200000000.0,2812259200000000.0,2812259200000000.0,2783234000000000.0,2783223600000000.0,,,,,,,,,,2810373700000000.0,0.0
1874,,2803992800000000.0,2804927000000000.0,2809980644283255.5,2840381300000000.0,2840381300000000.0,2840381300000000.0,2840381300000000.0,2811066600000000.0,2811055800000000.0,,,,,,,,,,2838477300000000.0,0.0
1875,,2832033000000000.0,2832976000000000.0,2838079557581040.0,2868785600000000.0,2868785600000000.0,2868785600000000.0,2868785600000000.0,2839177400000000.0,2839166400000000.0,,,,,,,,,,2866862000000000.0,0.0
1876,,2860353500000000.0,2861306400000000.0,2866489883952687.5,2897473500000000.0,2897473500000000.0,2897473500000000.0,2897473500000000.0,2867598500000000.0,2867587500000000.0,,,,,,,,,,2895530900000000.0,0.0
1877,,2888956600000000.0,2889918700000000.0,2895133948283664.5,2926448000000000.0,2926448000000000.0,2926448000000000.0,2926448000000000.0,2896244600000000.0,2896233600000000.0,,,,,,,,,,2924486200000000.0,0.0
1878,,2917846400000000.0,2918818700000000.0,2924089188149928.5,2955712500000000.0,2955712500000000.0,2955712500000000.0,2955712500000000.0,2925207200000000.0,2925196200000000.0,,,,,,,,,,2953731000000000.0,0.0
1879,,2947024600000000.0,2948006000000000.0,2953355603551479.0,2985269400000000.0,2985269400000000.0,2985269400000000.0,2985269400000000.0,2954459100000000.0,2954448000000000.0,,,,,,,,,,2983268200000000.0,0.0
1880,,2976495800000000.0,2977486600000000.0,2982855756912359.0,3015122000000000.0,3015122000000000.0,3015122000000000.0,3015122000000000.0,2984034600000000.0,2984023300000000.0,,,,,,,,,,3013101000000000.0,0.0
1881,,3006260200000000.0,3007261200000000.0,3012667085808524.5,3045273300000000.0,3045273300000000.0,3045273300000000.0,3045273300000000.0,3013843800000000.0,3013832500000000.0,,,,,,,,,,3043231600000000.0,0.0
1882,,3036322800000000.0,3037334000000000.0,3042790065317129.5,3075726200000000.0,3075726200000000.0,3075726200000000.0,3075726200000000.0,3043982600000000.0,3043970300000000.0,,,,,,,,,,3073664000000000.0,0.0
1883,,3066686000000000.0,3067707500000000.0,3073223982822445.5,3106483300000000.0,3106483300000000.0,3106483300000000.0,3106483300000000.0,3074422100000000.0,3074410300000000.0,,,,,,,,,,3104401000000000.0,0.0
1884,,3097353000000000.0,3098384800000000.0,3103969550940200.5,3137548000000000.0,3137548000000000.0,3137548000000000.0,3137548000000000.0,3105198000000000.0,3105186200000000.0,,,,,,,,,,3135445000000000.0,0.0
1885,,3128326100000000.0,3129368200000000.0,3135026294593241.5,3168923500000000.0,3168923500000000.0,3168923500000000.0,3168923500000000.0,3136218100000000.0,3136205800000000.0,,,,,,,,,,3166799400000000.0,0.0
1886,,3159610000000000.0,3160662100000000.0,3166394451320145.5,3200612900000000.0,3200612900000000.0,3200612900000000.0,3200612900000000.0,3167580300000000.0,3167568200000000.0,,,,,,,,,,3198467500000000.0,0.0
1887,,3191205800000000.0,3192268500000000.0,3197996108467803.5,3232619200000000.0,3232619200000000.0,3232619200000000.0,3232619200000000.0,3199256000000000.0,3199243800000000.0,,,,,,,,,,3230452000000000.0,0.0
1888,,3223117700000000.0,3224191400000000.0,3229987091342433.5,3264945300000000.0,3264945300000000.0,3264945300000000.0,3264945300000000.0,3231282000000000.0,3231269300000000.0,,,,,,,,,,3262756700000000.0,0.0
1889,,3255349300000000.0,3256433500000000.0,3262289249752350.5,3297594600000000.0,3297594600000000.0,3297594600000000.0,3297594600000000.0,3263561200000000.0,3263548300000000.0,,,,,,,,,,3295384300000000.0,0.0
1890,,3287902700000000.0,3288998000000000.0,3294902821236129.5,3330570800000000.0,3330570800000000.0,3330570800000000.0,3330570800000000.0,3296196500000000.0,3296184200000000.0,,,,,,,,,,3328338000000000.0,0.0
1891,,3320782000000000.0,3321888000000000.0,3327905480908305.5,3363876400000000.0,3363876400000000.0,3363876400000000.0,3363876400000000.0,3329158800000000.0,3329146000000000.0,,,,,,,,,,3361621500000000.0,0.0
1892,,3353989600000000.0,3355106900000000.0,3361141878539810.5,3397515400000000.0,3397515400000000.0,3397515400000000.0,3397515400000000.0,3362484800000000.0,3362471000000000.0,,,,,,,,,,3395237400000000.0,0.0
1893,,3387529600000000.0,3388657500000000.0,3394767364359712.5,3431490700000000.0,3431490700000000.0,3431490700000000.0,3431490700000000.0,3396074700000000.0,3396061500000000.0,,,,,,,,,,3429190000000000.0,0.0
1894,,3421404500000000.0,3422543700000000.0,3428704025714900.5,3465805300000000.0,3465805300000000.0,3465805300000000.0,3465805300000000.0,3430035800000000.0,3430022400000000.0,,,,,,,,,,3463482000000000.0,0.0
1895,,3455618700000000.0,3456769800000000.0,3463030012797061.5,3500463600000000.0,3500463600000000.0,3500463600000000.0,3500463600000000.0,3464336500000000.0,3464322500000000.0,,,,,,,,,,3498116600000000.0,0.0
1896,,3490175000000000.0,3491336800000000.0,3497667175414508.5,3535467800000000.0,3535467800000000.0,3535467800000000.0,3535467800000000.0,3499015400000000.0,3499001400000000.0,,,,,,,,,,3533097800000000.0,0.0
1897,,3525076400000000.0,3526250000000000.0,3532615988644395.5,3570822700000000.0,3570822700000000.0,3570822700000000.0,3570822700000000.0,3533969200000000.0,3533955000000000.0,,,,,,,,,,3568428700000000.0,0.0
1898,,3560327400000000.0,3561513300000000.0,3567953890062678.5,3606531000000000.0,3606531000000000.0,3606531000000000.0,3606531000000000.0,3569309000000000.0,3569295300000000.0,,,,,,,,,,3604113000000000.0,0.0
1899,,3595930500000000.0,3597128300000000.0,3603602967016248.0,3642596400000000.0,3642596400000000.0,3642596400000000.0,3642596400000000.0,3605002000000000.0,3604988000000000.0,,,,,,,,,,3640154200000000.0,0.0
1900,,3631889800000000.0,3633099700000000.0,3639641369696790.5,3679022500000000.0,3679022500000000.0,3679022500000000.0,3679022500000000.0,3641052000000000.0,3641037900000000.0,,,,,,,,,,3676555600000000.0,0.0
1901,,3668209200000000.0,3669430800000000.0,3676068860565728.5,3715812400000000.0,3715812400000000.0,3715812400000000.0,3715812400000000.0,3677462400000000.0,3677448400000000.0,,,,,,,,,,3713321300000000.0,0.0
1902,,3704891100000000.0,3706125000000000.0,3712807764508529.5,3752970300000000.0,3752970300000000.0,3752970300000000.0,3752970300000000.0,3714237000000000.0,3714223300000000.0,,,,,,,,,,3750454300000000.0,0.0
1903,,3741939500000000.0,3743185600000000.0,3749935756639728.0,3790499800000000.0,3790499800000000.0,3790499800000000.0,3790499800000000.0,3751379000000000.0,3751364800000000.0,,,,,,,,,,3787959000000000.0,0.0
1904,,3779359700000000.0,3780618400000000.0,3787453074497898.0,3828405300000000.0,3828405300000000.0,3828405300000000.0,3828405300000000.0,3788932000000000.0,3788917000000000.0,,,,,,,,,,3825838800000000.0,0.0
1905,,3817152500000000.0,3818423800000000.0,3825281805429932.0,3866689300000000.0,3866689300000000.0,3866689300000000.0,3866689300000000.0,3826781800000000.0,3826767500000000.0,,,,,,,,,,3864097000000000.0,0.0
1906,,3855324500000000.0,3856608700000000.0,3863577299664895.5,3905355800000000.0,3905355800000000.0,3905355800000000.0,3905355800000000.0,3865050000000000.0,3865035000000000.0,,,,,,,,,,3902738000000000.0,0.0
1907,,3893877200000000.0,3895174300000000.0,3902184206973720.5,3944409600000000.0,3944409600000000.0,3944409600000000.0,3944409600000000.0,3903700000000000.0,3903686000000000.0,,,,,,,,,,3941765300000000.0,0.0
1908,,3932816000000000.0,3934126000000000.0,3941258352662630.0,3983853800000000.0,3983853800000000.0,3983853800000000.0,3983853800000000.0,3942777800000000.0,3942762000000000.0,,,,,,,,,,3981183200000000.0,0.0
1909,,3972144400000000.0,3973467500000000.0,3980643673886824.5,4023691800000000.0,4023691800000000.0,4023691800000000.0,4023691800000000.0,3982165000000000.0,3982149500000000.0,,,,,,,,,,4020994800000000.0,0.0
1910,,4011866000000000.0,4013203200000000.0,4020418320837992.5,4063929200000000.0,4063929200000000.0,4063929200000000.0,4063929200000000.0,4021986400000000.0,4021970900000000.0,,,,,,,,,,4061204800000000.0,0.0
1911,,4051984000000000.0,4053333500000000.0,4060659731092090.0,4104568200000000.0,4104568200000000.0,4104568200000000.0,4104568200000000.0,4062206600000000.0,4062190500000000.0,,,,,,,,,,4101817000000000.0,0.0
1912,,4092504000000000.0,4093868000000000.0,4101290229534584.0,4145614400000000.0,4145614400000000.0,4145614400000000.0,4145614400000000.0,4102870600000000.0,4102854500000000.0,,,,,,,,,,4142835000000000.0,0.0
1913,,4133429500000000.0,4134807000000000.0,4142232378589518.0,4187070200000000.0,4187070200000000.0,4187070200000000.0,4187070200000000.0,4143856700000000.0,4143840600000000.0,,,,,,,,,,4184263400000000.0,0.0
1914,,4174763800000000.0,4176154500000000.0,4183719441139066.0,4228941000000000.0,4228941000000000.0,4228941000000000.0,4228941000000000.0,4185295300000000.0,4185279000000000.0,,,,,,,,,,4226105800000000.0,0.0
1915,,4216512000000000.0,4217915900000000.0,4225517679223902.5,4271230400000000.0,4271230400000000.0,4271230400000000.0,4271230400000000.0,4227148000000000.0,4227132300000000.0,,,,,,,,,,4268367200000000.0,0.0
1916,,4258676000000000.0,4260095400000000.0,4267782918150245.5,4313942700000000.0,4313942700000000.0,4313942700000000.0,4313942700000000.0,4269463000000000.0,4269447700000000.0,,,,,,,,,,4311051000000000.0,0.0
1917,,4301263000000000.0,4302695000000000.0,4310437720342135.5,4357082500000000.0,4357082500000000.0,4357082500000000.0,4357082500000000.0,4312114000000000.0,4312097500000000.0,,,,,,,,,,4354161600000000.0,0.0
