year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
24,,,,,79.63309,,,44.745564,100.84894,,,,,,,,,,,,,,,,,,,99.81132,,,,97.688416,,,,,,,,,,,98.772,
25,,,,,79.54673,,,44.78137,100.24786,,,,,,,,,,,,,,,,,,,99.42368,,,,98.353,,,,,,,,,,,98.503845,
26,,,,,79.67487,,,44.79756,100.638245,,,,,,,,,,,,,,,,,,,99.38233,,,,98.09924,,,,,,,,,,,98.47589,
27,,,,,79.52599,,,44.82033,101.37152,,,,,,,,,,,,,,,,,,,98.51527,,,,97.871895,,,,,,,,,,,99.412025,
28,,,,,79.334114,,,44.928467,100.70374,,,,,,,,,,,,,,,,,,,99.44907,,,,97.7044,,,,,,,,,,,99.097595,
29,,,,,79.673325,,,44.925396,100.78777,,,,,,,,,,,,,,,,,,,99.954185,,,,97.60409,,,,,,,,,,,98.335304,
30,,,,,79.48174,,,44.95413,100.33661,,,,,,,,,,,,,,,,,,,99.10135,,,,98.690186,,,,,,,,,,,97.539154,
31,,,,,79.26497,,,44.97096,100.45051,,,,,,,,,,,,,,,,,,,99.24784,,,,97.802925,,,,,,,,,,,98.55194,
32,,,,,79.174934,,,44.857883,101.527565,,,,,,,,,,,,,,,,,,,98.7999,,,,97.72827,,,,,,,,,,,98.14377,
33,,,,,79.34774,,,44.971558,101.186165,,,,,,,,,,,,,,,,,,,98.95593,,,,98.099785,,,,,,,,,,,97.205956,
34,,,,,79.11237,,,44.776913,100.06729,,,,,,,,,,,,,,,,,,,98.95876,,,,97.92078,,,,,,,,,,,97.1655,
35,,,,,79.344,,,44.653442,101.338684,,,,,,,,,,,,,,,,,,,99.816315,,,,97.48579,,,,,,,,,,,97.66763,
36,,,,,79.03368,,,44.81413,100.932106,,,,,,,,,,,,,,,,,,,99.22168,,,,97.71622,,,,,,,,,,,97.83671,
37,,,,,79.14539,,,44.78922,100.75901,,,,,,,,,,,,,,,,,,,98.712006,,,,97.59933,,,,,,,,,,,98.226204,
38,,,,,79.191666,,,44.57666,100.13892,,,,,,,,,,,,,,,,,,,99.69864,,,,97.398506,,,,,,,,,,,98.923035,
39,,,,,79.27384,,,44.75128,100.13372,,,,,,,,,,,,,,,,,,,99.295296,,,,97.12919,,,,,,,,,,,98.01566,
