year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
30,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
31,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
32,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
33,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
34,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
35,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
36,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
37,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
38,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
39,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
40,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
41,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
42,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
43,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
44,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
45,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
46,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
47,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
48,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
49,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
50,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
51,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
52,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
53,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
54,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
55,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
56,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
57,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
58,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
59,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
60,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
61,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
62,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
63,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
64,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
65,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
66,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
67,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
68,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
69,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
70,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
71,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
72,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
73,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
74,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
75,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
76,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
77,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
78,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
79,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
80,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
81,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
82,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
83,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
84,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
85,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
86,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
87,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
88,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
89,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
90,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
91,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
92,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
93,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
94,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
95,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
96,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
97,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
98,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
99,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
100,,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
101,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
102,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
103,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
104,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
105,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
106,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
107,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
108,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
109,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
110,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
111,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
112,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
113,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
114,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
115,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
116,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
117,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
118,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
119,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
120,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
121,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
122,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
123,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
124,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
125,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
126,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
127,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
128,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
129,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
130,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
131,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
132,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
133,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
134,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
135,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
136,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
137,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
138,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
139,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
140,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
141,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
142,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
143,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
144,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
145,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
146,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
147,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
148,341.5968,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
149,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
150,341.5884,,,,267.25784,,,131.22699,340.2429,,,,,,,,,,,,,,,,,,,340.24863,,,,340.2523,,,,,,,,,,,340.24863,
151,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,341.5968,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,341.5968,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,341.5968,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,341.5884,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,341.5968,,,,,,,131.22699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,341.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,341.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,341.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,341.5968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,341.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
