year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
30,,,,,225.53151,,,120.83917,288.13876,,,,,,,,,,,,,,,,,,,287.79062,,,,287.77164,,,,,,,,,,,287.8623,
31,,,,,225.72523,,,120.839355,288.43323,,,,,,,,,,,,,,,,,,,287.73914,,,,287.61926,,,,,,,,,,,287.92273,
32,,,,,225.71754,,,120.84936,288.47208,,,,,,,,,,,,,,,,,,,287.75842,,,,287.73752,,,,,,,,,,,287.87717,
33,,,,,225.74223,,,120.85261,288.18488,,,,,,,,,,,,,,,,,,,287.8273,,,,287.7883,,,,,,,,,,,287.93674,
34,,,,,225.71912,,,120.9176,288.333,,,,,,,,,,,,,,,,,,,287.9734,,,,287.95798,,,,,,,,,,,288.17526,
35,,,,,225.73232,,,120.83485,288.41608,,,,,,,,,,,,,,,,,,,287.81552,,,,288.07507,,,,,,,,,,,288.2042,
36,,,,,225.81306,,,120.839714,288.23193,,,,,,,,,,,,,,,,,,,287.8365,,,,288.12274,,,,,,,,,,,288.11685,
37,,,,,225.82031,,,120.88281,288.2161,,,,,,,,,,,,,,,,,,,288.1873,,,,288.19247,,,,,,,,,,,288.22495,
38,,,,,225.85905,,,120.97646,288.18872,,,,,,,,,,,,,,,,,,,288.20575,,,,288.1053,,,,,,,,,,,288.07614,
39,,,,,225.81297,,,120.994576,288.34882,,,,,,,,,,,,,,,,,,,287.9357,,,,288.06644,,,,,,,,,,,287.9546,
40,,,,,225.78667,,,120.96057,288.48138,,,,,,,,,,,,,,,,,,,287.9011,,,,288.2049,,,,,,,,,,,288.0857,
41,,,,,225.8612,,,120.971466,288.22873,,,,,,,,,,,,,,,,,,,288.12064,,,,288.2952,,,,,,,,,,,288.5413,
42,,,,,225.8683,,,121.01751,288.35147,,,,,,,,,,,,,,,,,,,288.18283,,,,288.41815,,,,,,,,,,,288.40427,
43,,,,,225.87085,,,121.02439,288.6664,,,,,,,,,,,,,,,,,,,288.19543,,,,288.4584,,,,,,,,,,,288.0925,
44,,,,,225.86168,,,121.01959,288.70682,,,,,,,,,,,,,,,,,,,288.3818,,,,288.34668,,,,,,,,,,,288.1943,
45,,,,,225.93062,,,121.0028,288.57755,,,,,,,,,,,,,,,,,,,288.30875,,,,288.40338,,,,,,,,,,,288.30545,
46,,,,,226.04468,,,121.04092,288.37033,,,,,,,,,,,,,,,,,,,287.9902,,,,288.4443,,,,,,,,,,,288.50754,
47,,,,,226.08736,,,120.98056,288.62366,,,,,,,,,,,,,,,,,,,288.10526,,,,288.57407,,,,,,,,,,,288.341,
48,,,,,226.19464,,,121.04824,288.78912,,,,,,,,,,,,,,,,,,,288.23795,,,,288.58395,,,,,,,,,,,288.29007,
49,,,,,226.06897,,,121.01031,288.65506,,,,,,,,,,,,,,,,,,,288.36914,,,,288.70663,,,,,,,,,,,288.5649,
50,,,,,226.08809,,,121.00524,288.58353,,,,,,,,,,,,,,,,,,,288.3607,,,,288.8685,,,,,,,,,,,288.63974,
51,,,,,226.21983,,,121.053986,288.5311,,,,,,,,,,,,,,,,,,,288.23364,,,,288.98306,,,,,,,,,,,288.4869,
52,,,,,226.25954,,,121.11219,288.42258,,,,,,,,,,,,,,,,,,,288.31216,,,,288.97775,,,,,,,,,,,288.7138,
53,,,,,226.2072,,,121.07325,288.52695,,,,,,,,,,,,,,,,,,,288.5112,,,,288.9,,,,,,,,,,,288.773,
54,,,,,226.26501,,,121.10105,288.6784,,,,,,,,,,,,,,,,,,,288.48148,,,,288.98758,,,,,,,,,,,288.64597,
55,,,,,226.28949,,,121.08374,288.94693,,,,,,,,,,,,,,,,,,,288.50363,,,,288.98254,,,,,,,,,,,288.82297,
56,,,,,226.19495,,,121.11087,288.8791,,,,,,,,,,,,,,,,,,,288.5813,,,,289.14264,,,,,,,,,,,288.75436,
57,,,,,226.26515,,,121.16968,288.93,,,,,,,,,,,,,,,,,,,288.4885,,,,289.1433,,,,,,,,,,,288.94992,
58,,,,,226.39433,,,121.18408,288.85358,,,,,,,,,,,,,,,,,,,288.6365,,,,289.41992,,,,,,,,,,,288.8134,
59,,,,,226.3319,,,121.16266,288.82834,,,,,,,,,,,,,,,,,,,288.61194,,,,289.43588,,,,,,,,,,,288.8253,
60,,,,,226.2586,,,121.217354,288.9094,,,,,,,,,,,,,,,,,,,288.59808,,,,289.52518,,,,,,,,,,,288.91183,
61,,,,,226.47447,,,121.17524,289.08847,,,,,,,,,,,,,,,,,,,288.72223,,,,289.67883,,,,,,,,,,,289.0462,
62,,,,,226.44496,,,121.17874,289.28116,,,,,,,,,,,,,,,,,,,288.56293,,,,289.65518,,,,,,,,,,,289.1013,
63,,,,,226.26134,,,121.17489,289.09866,,,,,,,,,,,,,,,,,,,288.6843,,,,289.54593,,,,,,,,,,,289.0619,
64,,,,,226.3702,,,121.207214,288.60928,,,,,,,,,,,,,,,,,,,288.68472,,,,289.51788,,,,,,,,,,,289.0405,
65,,,,,226.47343,,,121.17697,288.72787,,,,,,,,,,,,,,,,,,,288.821,,,,289.63474,,,,,,,,,,,289.05515,
66,,,,,226.49127,,,121.277405,289.0107,,,,,,,,,,,,,,,,,,,288.76462,,,,289.78506,,,,,,,,,,,289.0831,
67,,,,,226.45387,,,121.246185,289.0093,,,,,,,,,,,,,,,,,,,288.9005,,,,289.91068,,,,,,,,,,,288.92825,
68,,,,,226.59576,,,121.28309,288.90463,,,,,,,,,,,,,,,,,,,288.9215,,,,289.9384,,,,,,,,,,,289.02078,
69,,,,,226.71942,,,121.26041,289.18625,,,,,,,,,,,,,,,,,,,288.95474,,,,289.9706,,,,,,,,,,,289.2124,
70,,,,,226.53395,,,121.233406,289.17453,,,,,,,,,,,,,,,,,,,289.02133,,,,290.11334,,,,,,,,,,,289.25027,
71,,,,,226.59929,,,121.24645,289.05377,,,,,,,,,,,,,,,,,,,288.94595,,,,289.81952,,,,,,,,,,,289.3121,
72,,,,,226.61127,,,121.31277,289.34836,,,,,,,,,,,,,,,,,,,288.9603,,,,289.89847,,,,,,,,,,,289.25198,
73,,,,,226.56465,,,121.30734,289.23648,,,,,,,,,,,,,,,,,,,289.10666,,,,289.92825,,,,,,,,,,,289.2158,
74,,,,,226.68896,,,121.36616,288.94064,,,,,,,,,,,,,,,,,,,289.17422,,,,290.18396,,,,,,,,,,,289.31064,
75,,,,,226.76326,,,121.346405,289.0612,,,,,,,,,,,,,,,,,,,289.20377,,,,290.12964,,,,,,,,,,,289.38495,
76,,,,,226.78424,,,121.36736,289.23697,,,,,,,,,,,,,,,,,,,289.31924,,,,290.12592,,,,,,,,,,,289.3611,
77,,,,,226.86058,,,121.342445,289.1891,,,,,,,,,,,,,,,,,,,289.14578,,,,290.21115,,,,,,,,,,,289.45865,
78,,,,,226.83882,,,121.39841,289.0875,,,,,,,,,,,,,,,,,,,289.2911,,,,290.28647,,,,,,,,,,,289.47684,
79,,,,,226.88014,,,121.36906,289.25906,,,,,,,,,,,,,,,,,,,289.401,,,,290.4328,,,,,,,,,,,289.3633,
80,,,,,227.02107,,,121.43033,289.35672,,,,,,,,,,,,,,,,,,,289.26083,,,,290.58826,,,,,,,,,,,289.4559,
81,,,,,226.9893,,,121.44276,289.26132,,,,,,,,,,,,,,,,,,,289.39575,,,,290.72324,,,,,,,,,,,289.50247,
82,,,,,226.99603,,,121.40345,289.24545,,,,,,,,,,,,,,,,,,,289.44226,,,,290.63297,,,,,,,,,,,289.65942,
83,,,,,226.96613,,,121.41821,289.18457,,,,,,,,,,,,,,,,,,,289.36697,,,,290.50357,,,,,,,,,,,289.45743,
84,,,,,226.99628,,,121.42335,289.28165,,,,,,,,,,,,,,,,,,,289.60034,,,,290.5629,,,,,,,,,,,289.4523,
85,,,,,227.14943,,,121.429504,289.43234,,,,,,,,,,,,,,,,,,,289.5677,,,,290.72855,,,,,,,,,,,289.66656,
86,,,,,227.0413,,,121.512886,289.19662,,,,,,,,,,,,,,,,,,,289.51505,,,,290.67587,,,,,,,,,,,289.64868,
87,,,,,227.10057,,,121.56046,289.27338,,,,,,,,,,,,,,,,,,,289.68353,,,,291.03857,,,,,,,,,,,289.80106,
88,,,,,227.11615,,,121.5525,289.33118,,,,,,,,,,,,,,,,,,,289.6976,,,,291.03085,,,,,,,,,,,289.9797,
89,,,,,227.19318,,,121.54754,289.18607,,,,,,,,,,,,,,,,,,,289.63748,,,,291.0556,,,,,,,,,,,289.94794,
90,,,,,227.31036,,,121.527306,289.3483,,,,,,,,,,,,,,,,,,,289.6876,,,,290.91946,,,,,,,,,,,289.8953,
91,,,,,227.28839,,,121.581116,289.51135,,,,,,,,,,,,,,,,,,,289.62534,,,,290.929,,,,,,,,,,,290.15463,
92,,,,,227.13745,,,121.55005,289.52347,,,,,,,,,,,,,,,,,,,289.81027,,,,290.96252,,,,,,,,,,,290.06216,
93,,,,,227.10162,,,121.60099,289.42917,,,,,,,,,,,,,,,,,,,289.7496,,,,291.2014,,,,,,,,,,,289.89474,
94,,,,,227.19098,,,121.61219,289.54507,,,,,,,,,,,,,,,,,,,289.91507,,,,291.03885,,,,,,,,,,,290.1877,
95,,,,,227.28456,,,121.60851,289.60892,,,,,,,,,,,,,,,,,,,289.83453,,,,291.18723,,,,,,,,,,,290.1524,
96,,,,,227.27039,,,121.64105,289.8537,,,,,,,,,,,,,,,,,,,289.71027,,,,291.36295,,,,,,,,,,,290.12497,
97,,,,,227.31639,,,121.68158,289.76413,,,,,,,,,,,,,,,,,,,289.88983,,,,291.55582,,,,,,,,,,,290.25406,
98,,,,,227.56824,,,121.6818,289.71884,,,,,,,,,,,,,,,,,,,290.0052,,,,291.28778,,,,,,,,,,,290.20764,
99,,,,,227.57713,,,121.6918,289.9064,,,,,,,,,,,,,,,,,,,289.86264,,,,291.43845,,,,,,,,,,,290.27432,
100,,,,,227.50743,,,121.76184,289.9326,,,,,,,,,,,,,,,,,,,290.0827,,,,291.7579,,,,,,,,,,,290.19467,
101,287.4094,,,,227.57628,,,121.72985,289.53244,,,,,,,,,,,,,,,,,,,290.29938,,,,291.7192,,,,,,,,,,,290.31158,
102,287.58963,,,,227.51134,,,121.77661,289.64236,,,,,,,,,,,,,,,,,,,290.29703,,,,291.80112,,,,,,,,,,,290.37027,
103,287.58008,,,,227.54797,,,121.76183,289.98874,,,,,,,,,,,,,,,,,,,290.11853,,,,291.70975,,,,,,,,,,,290.47787,
104,287.3686,,,,227.67705,,,121.767876,289.95834,,,,,,,,,,,,,,,,,,,290.22964,,,,291.8163,,,,,,,,,,,290.46027,
105,287.53928,,,,227.6922,,,121.84378,289.88318,,,,,,,,,,,,,,,,,,,290.3282,,,,291.86728,,,,,,,,,,,290.58664,
106,287.55606,,,,227.75574,,,121.806946,289.89612,,,,,,,,,,,,,,,,,,,290.33026,,,,292.05533,,,,,,,,,,,290.72552,
107,287.53876,,,,227.77869,,,121.79202,290.16296,,,,,,,,,,,,,,,,,,,290.3786,,,,291.95035,,,,,,,,,,,290.71304,
108,287.77884,,,,227.80542,,,121.78141,289.9609,,,,,,,,,,,,,,,,,,,290.3519,,,,292.2086,,,,,,,,,,,290.8597,
109,287.87222,,,,227.75914,,,121.8527,289.71555,,,,,,,,,,,,,,,,,,,290.4265,,,,292.38522,,,,,,,,,,,291.04953,
110,287.75244,,,,227.85876,,,121.81611,289.80478,,,,,,,,,,,,,,,,,,,290.47565,,,,292.4393,,,,,,,,,,,290.913,
111,287.82797,,,,227.9948,,,121.849495,290.07727,,,,,,,,,,,,,,,,,,,290.43198,,,,292.20062,,,,,,,,,,,290.9942,
112,287.76315,,,,227.95589,,,121.85532,290.2046,,,,,,,,,,,,,,,,,,,290.45895,,,,292.26627,,,,,,,,,,,291.0615,
