,,,lambda,ecs,tcr,alpha,beta,a0,a1,a2,tau0,tau1,tau2
GISS-E2-1-H,ts,irm-2,1.0949875915925358,2.9919032129164966,1.824721834331369,4.726408741564633,1.0156908406436678,0.5672026319784422,0.4327973680215578,,3.961752178420432,177.18818393863776,
GISS-E2-1-H,ts,irm-3,1.1199793098687683,2.9593998578078815,1.8255513236801157,4.7817645419777595,1.0220683910450594,0.27291831082518503,0.33082682738640773,0.39625486178840724,1.0066000059606908,9.116275403032446,204.87921985671008
HadGEM3-GC31-LL,tas,conventional,0.6282511336591174,5.546226891589626,2.5520459316998143,,,,,,,,
HadGEM3-GC31-LL,tas,irm-2,0.6625583888716362,4.949205581132782,2.5946145907593974,4.73079566360042,1.0969169790270965,0.4910104980596388,0.5089895019403611,,6.273252744493816,205.02202412813165,
HadGEM3-GC31-LL,tas,irm-3,0.632970161704174,5.022489446839186,2.586708877902116,4.586451545190078,1.1058120130106897,0.27164038465824303,0.31821325568808767,0.41014635965366925,2.0567731859692153,23.205709337336387,397.48818804517657
HadGEM3-GC31-LL,ts,conventional,0.6374123163934894,5.455933024981708,2.5105263741093466,,,,,,,,
HadGEM3-GC31-LL,ts,irm-2,0.6694870201520553,4.883483473899521,2.5520337953554355,4.716788714716627,1.0954344104277487,0.4907781194133799,0.50922188058662,,6.37105439661194,207.4138425075213,
HadGEM3-GC31-LL,ts,irm-3,0.6419686004810293,4.948427490975443,2.5440796674982766,4.583059933096884,1.1042133407296626,0.2714587080730812,0.3181327685397167,0.4104085233872022,2.1193821805321638,23.277212945660274,399.87781273488696
IPSL-CM6A-LR,tas,conventional,0.749611760725483,4.558967439702125,2.3098001593947144,,,,,,,,
IPSL-CM6A-LR,tas,irm-2,0.7584611109678278,3.863602757927862,2.2783937952369167,4.227662641214336,1.1732679170050648,0.5501342316697136,0.4498657683302863,,5.610931601441163,162.7693672952765,
IPSL-CM6A-LR,tas,irm-3,0.7677699441724493,3.82813824620554,2.2765892856520673,4.240267536253018,1.1843550375428449,0.23487013872116605,0.3717889722456529,0.39334088903318115,0.8723723064209077,12.8400762452724,207.53429355874516
IPSL-CM6A-LR,ts,conventional,0.7548908528867752,4.494164298344591,2.254429439377694,,,,,,,,
IPSL-CM6A-LR,ts,irm-2,0.7642015849669482,3.7910912614416654,2.225171033220036,4.1797154082162695,1.1788400598877369,0.5486856395918753,0.4513143604081247,,5.749901536371907,164.12469959528823,
IPSL-CM6A-LR,ts,irm-3,0.7746784616017403,3.7543192785405815,2.2232339929256364,4.19592023834258,1.1898618277922053,0.2302263294751715,0.374225039491189,0.3955486310336396,0.9008923111475049,12.860477793704524,207.74279943619905
MIROC-ES2L,tas,conventional,1.515301678816317,2.675481610602682,1.5542504139100657,,,,,,,,
MIROC-ES2L,tas,irm-2,1.3004380850114405,2.5404366614537346,1.5891334291908932,4.766203599710149,1.105857277633836,0.6369798672461422,0.3630201327538578,,4.490117273394108,403.4218079603978,
MIROC-ES2L,tas,irm-3,1.4391299082837368,2.4445278744346934,1.5877460091402038,5.075391308510116,1.11515884296161,0.30797080555673334,0.3814327270293487,0.31059646741391794,0.9703068584764669,9.816566496006566,574.1258677828732
MIROC-ES2L,ts,conventional,1.5129215758255081,2.662969147470536,1.5373118445307086,,,,,,,,
MIROC-ES2L,ts,irm-2,1.305346625149809,2.5209912784928155,1.574963277498369,4.747573891528083,1.1077578120465887,0.6368307888168311,0.36316921118316886,,4.537232417559451,406.88011598477533,
MIROC-ES2L,ts,irm-3,1.441068719958223,2.4276826011291437,1.5735696804882604,5.047207226101482,1.1169139110174282,0.30959466711749206,0.3794399357432377,0.3109653971392703,1.0237080033761456,9.94453916660905,584.6523825859213
MIROC6,tas,conventional,1.3939529776614217,2.60728989073821,1.5516608354629056,,,,,,,,
MIROC6,tas,irm-2,1.2527402203916647,2.481352267866702,1.5499795940956276,4.484602800238699,1.0886980509055113,0.6113974466487372,0.3886025533512628,,3.252843044720133,300.12040450092945,
MIROC6,tas,irm-3,1.3017024718350676,2.44064719205652,1.550052974371467,4.583437070624473,1.0949801785321547,0.42109241132111624,0.24201269398955685,0.3368948946893268,1.469653399922802,12.682884658721326,450.4201507613412
MIROC6,ts,conventional,1.3890600242118027,2.60090964681907,1.5426204731674573,,,,,,,,
MIROC6,ts,irm-2,1.253666068645593,2.4712802702382333,1.5410693496280659,4.469700386587733,1.0892660350789638,0.6105421531713331,0.3894578468286669,,3.2812981415383584,300.79463424771023,
MIROC6,ts,irm-3,1.3023414647578846,2.4309070525506544,1.5411231315972402,4.567386466106094,1.0954979704934795,0.4219539067588705,0.24033441336360686,0.33771167987752265,1.5034889061482817,12.800114737719367,451.56483091907614
MRI-ESM2-0,tas,conventional,1.0813665724748593,3.15076676092832,1.6359878317798207,,,,,,,,
MRI-ESM2-0,tas,irm-2,1.04873687610179,2.841142091313571,1.6089851164844255,4.298669265304493,1.1237296344931351,0.5128741921644487,0.48712580783555115,,3.038116301629435,199.9276830531645,
MRI-ESM2-0,tas,irm-3,1.0811808946560437,2.8024646997974534,1.6090247951676055,4.371324556093973,1.1281017889016962,0.1541852094981475,0.3715460771391954,0.47426871336265713,0.3839356901034887,4.498630760928873,201.61408359358197
MRI-ESM2-0,ts,conventional,1.0883519617140107,3.101993909766271,1.6017881130653364,,,,,,,,
MRI-ESM2-0,ts,irm-2,1.0583638811489537,2.7940002666541686,1.5736119488614548,4.266148733027389,1.1240696793948421,0.5102381990142235,0.4897618009857765,,3.1340815893461293,200.7896960705092,
MRI-ESM2-0,ts,irm-3,1.0897924052621344,2.7572554057273027,1.5736379187760783,4.335061996648652,1.1282335094634037,0.14391552515792683,0.3783614591997333,0.4777230156423399,0.3990863110044238,4.486740494974946,202.07217150160074
NESM3,tas,conventional,0.8019379722852203,4.715918631188668,2.7095272871853355,,,,,,,,
NESM3,tas,irm-2,0.9024027347198589,4.407727856825614,2.697277201557067,5.738385415759978,1.0383648160151315,0.5597066669073691,0.44029333309263075,,2.2823273220575198,193.3976417263687,
NESM3,tas,irm-3,0.8708248928138465,4.434479064342115,2.697092729964703,5.571190165949181,1.0483718588422593,0.38383779903313986,0.2700659552229199,0.34609624574394027,0.6887218754272129,18.37264522353213,411.29226647022455
NESM3,ts,conventional,0.8423203209256578,4.490441205224381,2.5797609626581277,,,,,,,,
NESM3,ts,irm-2,0.9377100361580145,4.215063756863998,2.5709614585735556,5.702263096077692,1.0376636100989747,0.5594069751643442,0.44059302483565577,,2.3431994949574375,197.3776708285623,
NESM3,ts,irm-3,0.914599409186226,4.225017861915807,2.5705985526295647,5.574860503923325,1.047687260868561,0.3840386704979383,0.26928896317006706,0.34667236633199455,0.7121674175794361,18.19819390784441,410.16811330964816
NorESM2-LM,tas,conventional,1.3804864224374516,2.536782949348277,1.4758269973592832,,,,,,,,
NorESM2-LM,tas,irm-2,1.276141810391595,2.2010457159225263,1.3907505468231856,4.052308865200844,1.1775869204051324,0.5884135111504003,0.4115864888495997,,1.591193781938419,228.20873478602732,
NorESM2-LM,tas,irm-3,1.2854656240468654,2.1946244749511497,1.3906489459613305,4.070007639593401,1.1786752215723946,0.071590800008297,0.5191928848206417,0.4092163151710613,0.04315834314203615,1.8218794737122013,228.4661860575468
NorESM2-LM,ts,conventional,1.3860669913139725,2.4878305977033057,1.4297579813735326,,,,,,,,
NorESM2-LM,ts,irm-2,1.2879032830946608,2.144508691052231,1.3457076691762992,3.984607975466393,1.1840568168860164,0.5836945026265878,0.41630549737341227,,1.6222090768360995,228.76693256458086,
NorESM2-LM,ts,irm-3,1.2956515614753634,2.1392517205115475,1.3456254867628095,3.998753669935671,1.1849890355684596,0.058824149434583556,0.5267901134744627,0.4143857370909538,0.034742127559955316,1.809682302171136,228.89761715476632
SAM0-UNICON,tas,conventional,1.0481479955028827,3.716903947885921,2.2644240577147143,,,,,,,,
SAM0-UNICON,tas,irm-2,0.9433839824285415,3.8255742354906244,2.197014782914371,5.206665421963803,1.0052560556960195,0.5457651843315862,0.4542348156684138,,3.3770589498249564,263.9906341695796,
SAM0-UNICON,tas,irm-3,0.9582298322088392,3.799744255314209,2.1969888611726542,5.252893472443908,1.006969832030577,0.07981612698357222,0.47180821096733355,0.4483756620490942,0.34901787875562573,3.9966510398453092,265.2797603634545
SAM0-UNICON,ts,conventional,1.0518711461964616,3.6678057688466863,2.2243324048325945,,,,,,,,
SAM0-UNICON,ts,irm-2,0.9518248188403048,3.7728209296919255,2.156574742955366,5.18081108693244,1.0041684603334244,0.5428922829706558,0.45710771702934416,,3.434391553354663,263.24275858491376,
SAM0-UNICON,ts,irm-3,0.965296795338713,3.749761405034777,2.156550724384897,5.2220260993355145,1.0056954227347625,0.07049314019946724,0.4775932773248247,0.45191358247570806,0.3584032153768797,3.9783887779419893,264.19973966377995
UKESM1-0-LL,tas,conventional,0.6795508460714076,5.337167750962371,2.7864596866163565,,,,,,,,
UKESM1-0-LL,tas,irm-2,0.6878529442198148,5.318971620784192,2.8263702493466702,5.2783454830220355,0.9976095508518165,0.4935049187509639,0.5064950812490362,,5.5508831742534,204.66695626780037,
UKESM1-0-LL,tas,irm-3,0.6813617515851706,5.313039643937965,2.821657830402997,5.222703200077357,1.0060659297868346,0.26479747512170115,0.30856306636534925,0.4266394585129496,1.4644326089219368,18.546189724326336,317.82957629871623
UKESM1-0-LL,ts,conventional,0.6908913939713139,5.235373660120851,2.7310016348228685,,,,,,,,
UKESM1-0-LL,ts,irm-2,0.6974006346340282,5.2297090478397354,2.769820404345284,5.2618008284595925,0.9964222392805067,0.4926758457913211,0.507324154208679,,5.629326456289765,206.31540954853818,
UKESM1-0-LL,ts,irm-3,0.6916341616191087,5.2218316649916,2.764691384080879,5.210433320691029,1.0046716812479832,0.2699374966946697,0.30541664217049963,0.4246458611348307,1.6100284267995444,19.23167337332016,325.2192759197833
