year,pc05,pc16,mean,pc50,pc84,pc95
1750,0.0,0.0,0.0,0.0,0.0,0.0
1751,-0.005219876879414559,0.0008901376754746932,0.008112948602525701,0.007460313625104116,0.015857832619163084,0.023608135028235718
1752,-0.009249950267837348,0.0012971751054945012,0.013125778807570671,0.012001162493084134,0.025851032127674756,0.03876000719726588
1753,-0.0053361856324287025,0.0008853428710017566,0.00825997985779837,0.007599326785942125,0.016189861177481012,0.024044553996291344
1754,-0.012022406068468506,-0.007962050306310971,-0.003919821571289744,-0.0035809902125550418,-0.00024262517668414702,0.003324680457939689
1755,-0.0031753158648699514,-8.052965735437711e-05,0.0030614773151777545,0.0027796981189243427,0.006536788259750755,0.01006402418265406
1756,-0.0047196624763262765,0.0008894289891137844,0.007603160941524357,0.0069352848658199365,0.014902257813022003,0.021966809886054827
1757,-0.019543762120624808,-0.013668717863361686,-0.007378845137102751,-0.006699049966365654,-0.001577943795397826,0.002593245779617175
1758,-0.004868735100429961,-0.0032618161077748323,-0.0017614148562707134,-0.0014946660564961263,-0.0003352375186255,0.0005111341045452918
1759,-0.010458761673525618,-0.007215100154249872,-0.0038380704780536287,-0.0034916866133043955,-0.000713275618560566,0.0016680728715426727
1760,-0.035061613244737215,-0.023409710062542777,-0.011933791826077258,-0.010929463484022657,-0.001291950701598018,0.00813496341885937
1761,-0.019750706478025494,-0.013831796833465457,-0.007366455163765876,-0.00668081985275277,-0.001394150480640062,0.0030545603006967847
1762,-0.00802449506049696,-0.005381681060874799,-0.002759170148901711,-0.002538707157403402,-0.00033692694355945646,0.0018742789663800088
1763,-0.007251630501308432,-0.005013033447807231,-0.0027253742222055595,-0.002509139521778635,-0.0005787521874934666,0.0010984095538801397
1764,-0.012730147521439554,0.0009036386348932409,0.015734083851240425,0.01439293333851095,0.03180128212465399,0.04849385981957238
1765,-0.020810655257778084,-0.014181095606553396,-0.00740716517916104,-0.006800416366873053,-0.0011365447015678051,0.004005693512790019
1766,-0.0052850805225303716,-0.0008877654715810087,0.00305706301835513,0.0027199177907759795,0.007339726217113058,0.012302826135217262
1767,-0.004253090315611892,-0.0010444459562617332,0.0017412786779041458,0.0015163361921959957,0.00472943406485661,0.008325626652192311
1768,-0.052151913746205085,-0.03568412328764946,-0.018846507537944212,-0.017212891013840086,-0.0032176728637563407,0.00894035923023262
1769,-0.024798460233206983,-0.017126663054867923,-0.00917012411167896,-0.008397078714900775,-0.0018332846714367052,0.0038859801426145467
1770,-0.025421694285305097,-0.0176031870875676,-0.009442168298382425,-0.008645341579730455,-0.0019218525401837976,0.0038460247716114258
1771,-0.004774899554688611,-0.0002904308215959602,0.004213574991105493,0.003798877739553441,0.00914059689961029,0.014305112760996268
1772,-0.00992582063042865,0.0003353321843923012,0.010963894146186266,0.010004648976644367,0.022548767639588085,0.03430795829701142
1773,-0.007559540428026193,0.00017605364654338886,0.008060465610232376,0.007368876939084376,0.016698393894040518,0.025426433895753737
1774,-0.036422296549902484,-0.024877828694125213,-0.013072253659968188,-0.011948218498873623,-0.0020822290768907864,0.006639940898537994
1775,-0.010349160006588443,-0.006619788869670323,-0.0033262938135315153,-0.0027523460332165863,-0.00022100525129615758,0.001764778886691986
1776,-0.004954157546865781,-0.0007713730306930936,0.002926991873665709,0.0026216080903824343,0.007024229719976474,0.011673868447756416
1777,-0.01576830176483753,-0.010362084171252225,-0.005570124210098941,-0.004706935029955499,-0.0009723513455243414,0.00190433190345156
1778,-0.0326817294043982,-0.022994605263277387,-0.012474671350960458,-0.01118824764203891,-0.0028776508395941583,0.003911595287451512
1779,-0.012732284522239337,-0.008272324773710963,-0.004261264943695774,-0.0035391075869962204,-0.00044038743065069445,0.0018321835495379141
1780,-0.04554056289704779,-0.03161207067065796,-0.016670617004000125,-0.015090744136646341,-0.002822994879829655,0.007713043479168623
1781,-0.02533583789899292,-0.017596387638584503,-0.009605987950887325,-0.00858580873006605,-0.0021917688030617124,0.0024363254670721223
1782,-0.01892820410874665,-0.013306941750994372,-0.007252210675845955,-0.0065176427538203964,-0.0016906247226181532,0.0019731347591006487
1783,-0.011250203012353863,-0.0075177602134545995,-0.0040332808174252,-0.0034104724697595046,-0.0006966843033677864,0.0013269923395463977
1784,-0.014183750429469505,-0.0019340757665507347,0.008744906168803985,0.00782116884561338,0.020660721722581415,0.0339777586669406
1785,-0.020305628797526613,-0.01428893373353398,-0.007822919358932277,-0.0070221055039137,-0.001851731407670814,0.0019663503048083855
1786,-0.010610847257116484,-0.004344913217660658,0.0009098871716993672,0.0005404914091232559,0.006828601264769348,0.01323293655159527
1787,-0.018473845373313143,-0.012359079652334154,-0.006597444510850282,-0.005562988328393098,-0.001121523570450972,0.0022234285975052995
1788,-0.06982744967174946,-0.04898430811840081,-0.025967066704297312,-0.02363320518027389,-0.004759986885102137,0.010454641015557434
1789,-0.041719602676951226,-0.029221735520089075,-0.015860440353325074,-0.014403949171457852,-0.0035314009552782463,0.005406612824462755
1790,-0.046230618940583425,-0.03237372940808128,-0.017480276401452877,-0.015893539089143875,-0.003758285436323483,0.006146814942879427
1791,-0.013808271259810701,-0.008739435085017063,-0.004003569361237137,-0.0033523691886745486,0.0005077344719576222,0.003844755344532673
1792,-0.011894405221794887,-0.004662588749962117,0.0013931794571527799,0.000978423097970515,0.008189793861721464,0.015627113460379986
1793,-0.009771809877476329,-0.004481922026527846,6.819257413051314e-05,-0.00014808892069367833,0.005131928727864111,0.010491746232874376
1794,-0.058204449848725054,-0.04043881390032026,-0.021603071945265208,-0.019691940854627794,-0.004040754953480298,0.009175084778100194
1795,-0.031182869132416153,-0.022121749386485836,-0.012241053432395389,-0.010996067135434964,-0.0030881152672282025,0.0026665970828946978
1796,-0.013270818482725977,-0.009120791183837119,-0.005213752070104804,-0.004578971391632229,-0.001505737858672307,0.000618177864374499
1797,-0.03539835022323186,-0.025408936830886797,-0.013982661992034793,-0.012637358867946567,-0.0036680055895862377,0.0032418750442306165
1798,-0.051424116703134445,-0.036376043503280636,-0.01992519935402847,-0.018213774377998614,-0.004720615585551085,0.006063832630035605
1799,-0.046412545075132434,-0.0328186178805457,-0.017760246173871386,-0.016239909019783238,-0.004025311124893596,0.005869437689020675
1800,-0.06660226241756632,-0.046068584397118785,-0.02466173396322274,-0.022574962224946336,-0.004870198054599297,0.010328377201881846
1801,-0.04725218098937947,-0.03368972246836254,-0.018436402828973363,-0.01684747883954505,-0.0043924217531943425,0.005492086750212247
1802,-0.0514696764656391,-0.03643193116096203,-0.01990565873505711,-0.018298806774746733,-0.004558932161986838,0.006516624259625983
1803,-0.029734251901919962,-0.021507865554649546,-0.012061727554667835,-0.010969671896059725,-0.0034505566036883437,0.0022281720726319504
1804,-0.019424907025918436,-0.012660497246369772,-0.006320121841869032,-0.0053784594471940035,-0.00031470722405532167,0.003875719786414692
1805,-0.05163491717645728,-0.03677592521799878,-0.020050428872502173,-0.018383230032611608,-0.0046379223934197005,0.005839102438614164
1806,-0.03715321994962923,-0.02661490386588224,-0.015012610569550583,-0.013632409485202935,-0.004316327168426345,0.002141714644950147
1807,-0.05103152188880384,-0.036438712618575266,-0.02029934988352005,-0.01850076177036094,-0.005464273528151798,0.004647514474873129
1808,-0.10276639164780492,-0.07200575274375631,-0.03865220883783722,-0.03537140656583614,-0.007613880787280406,0.015243422961440144
1809,-0.07937361321990448,-0.056034791467600695,-0.030265371029096346,-0.027595470245968347,-0.00634793882438086,0.010778223606803802
1810,-0.08652986854800611,-0.060989573554963365,-0.03284974813595567,-0.03005628564470518,-0.006819394898254191,0.012157627192986147
1811,-0.0565166369127807,-0.040360518598005504,-0.022463241765877377,-0.020463035184858844,-0.0059880233756361674,0.005295864314795081
1812,-0.035707135702663644,-0.025298289191089278,-0.014549261793476684,-0.013135603729084238,-0.004484418213323568,0.0015862766040566595
1813,-0.047192041106784856,-0.03402444565188869,-0.019061464417937473,-0.017332455019576042,-0.005402017269046768,0.003833311524210962
1814,-0.10635570478421724,-0.07323127096292577,-0.039555289638120425,-0.03630154382858328,-0.008020308662239937,0.01610464581393624
1815,-0.08227948460041783,-0.05847591251399371,-0.03184440887941606,-0.029225528094329233,-0.007261857735061005,0.009776800630416478
1816,-0.07679053949548592,-0.054513306305865185,-0.029945584500067512,-0.027459114744424386,-0.0070050756107918775,0.009154897145721066
1817,-0.08460132346355462,-0.06050293645932128,-0.03306578539310553,-0.03045592234103263,-0.007859586923097255,0.009612913743364693
1818,-0.11301488851659407,-0.07966184624146648,-0.04318778999475318,-0.03957982980202174,-0.009283192905951958,0.015196205022430333
1819,-0.09847922994227842,-0.06959508691120404,-0.037850178460456387,-0.03475338289659281,-0.008352505780192166,0.013031574137146954
1820,-0.12719230591592146,-0.08807098456885143,-0.047495172085311246,-0.04366394517422636,-0.009612132087898212,0.019439511234387186
1821,-0.1142769234786607,-0.08045344110820894,-0.04366893665865728,-0.04008012805717471,-0.009450670558434907,0.015645644640474875
1822,-0.11304910003397432,-0.0785787553953743,-0.042663934396480724,-0.03925993937193038,-0.009023394876034256,0.016417294283912757
1823,-0.08858480429189561,-0.06298413454631038,-0.03468561850506017,-0.03195011639946684,-0.008187860972093954,0.010468823415906907
1824,-0.07900071818647857,-0.05657680703184535,-0.03173646989831448,-0.029011836081937442,-0.008768353867138746,0.006644990845830795
1825,-0.11126442248903128,-0.07874583450883847,-0.04303350882345926,-0.03954460502606354,-0.00974906103529169,0.014569706912292361
1826,-0.09235218154319258,-0.0664212041351908,-0.03672001200488742,-0.033741861602984556,-0.009441149692205868,0.009900886172676098
1827,-0.10725717431434297,-0.07714824221671374,-0.042343477655122114,-0.039049096797202934,-0.010359745454381718,0.011759878666894626
1828,-0.16788902881944237,-0.11612052545144756,-0.06293246175837619,-0.05802784336327716,-0.013297452442310675,0.024569545493061
1829,-0.14396770949728635,-0.1004540751192016,-0.054716136062144274,-0.050243581760726734,-0.011935459252477286,0.019851701886595567
1830,-0.1541471276940696,-0.10877890639590776,-0.059879778510437326,-0.055271035488978035,-0.013848495289125492,0.019297135246344164
